window_size,window_seconds,file_name,learning_rate,gamma,lambda,threshold_method,tau,val_loss,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
20,100,tranad_processed_tensors_w20.pt,0.0005,0.7,0.3,Val_Mean_3Std,1.7462708950042725,0.3421033598216517,0.0,0.0,0.0,0.8007004547454893,0.1654981334987389,0.6837606837606838,0.17543859649122806,0.2792321116928447,0.7558056992191462,0.5637212151719229
20,100,tranad_processed_tensors_w20.pt,0.0005,0.7,0.3,Val_Percentile_95,1.3517152845859501,0.3421033598216517,0.0,0.0,0.0,0.8007004547454893,0.1654981334987389,0.7266666666666667,0.23903508771929824,0.35973597359735976,0.7558056992191462,0.5637212151719229
20,100,tranad_processed_tensors_w20.pt,0.0005,0.3,0.7,Val_Percentile_99,1.8273647058010098,0.3421033598216517,0.0,0.0,0.0,0.7941176470588236,0.15944748421888902,0.706766917293233,0.20614035087719298,0.31918505942275044,0.7613274515769192,0.5668681675384718
20,100,tranad_processed_tensors_w20.pt,0.0005,0.3,0.7,Val_Percentile_95,1.420948976278305,0.3421033598216517,0.0,0.0,0.0,0.7941176470588236,0.15944748421888902,0.7543859649122807,0.28289473684210525,0.41148325358851673,0.7613274515769192,0.5668681675384718
20,100,tranad_processed_tensors_w20.pt,0.0005,0.3,0.7,Val_Mean_3Std,1.8327052891254425,0.3421033598216517,0.0,0.0,0.0,0.7941176470588236,0.15944748421888902,0.706766917293233,0.20614035087719298,0.31918505942275044,0.7613274515769192,0.5668681675384718
20,100,tranad_processed_tensors_w20.pt,0.0005,0.3,0.7,Val_Mean_2Std,1.3345532715320587,0.3421033598216517,0.0,0.0,0.0,0.7941176470588236,0.15944748421888902,0.75,0.28289473684210525,0.410828025477707,0.7613274515769192,0.5668681675384718
5,25,tranad_processed_tensors_w5.pt,0.0005,0.7,0.3,Val_Percentile_95,1.0718197584152218,0.261551144000675,0.0,0.0,0.0,0.7968864603197888,0.18196366271509068,0.7358490566037735,0.2565789473684211,0.3804878048780488,0.7287369435148565,0.5396069824050539
20,100,tranad_processed_tensors_w20.pt,0.0005,0.5,0.5,Val_Percentile_99,1.8315810811519613,0.3421033598216517,0.0,0.0,0.0,0.7979133049728621,0.16276690962208412,0.6864406779661016,0.17763157894736842,0.28222996515679444,0.7545152621437988,0.5617213720884683
5,25,tranad_processed_tensors_w5.pt,0.0005,0.7,0.3,Val_Mean_3Std,1.439999833703041,0.261551144000675,0.0,0.0,0.0,0.7968864603197888,0.18196366271509068,0.7264957264957265,0.18640350877192982,0.29668411867364747,0.7287369435148565,0.5396069824050539
10,50,tranad_processed_tensors_w10.pt,0.0005,0.7,0.3,Val_Percentile_99,1.7577994024753547,0.30223309927220854,0.0,0.0,0.0,0.8022223852134369,0.17780701176216288,0.7019230769230769,0.1600877192982456,0.26071428571428573,0.7394736842105263,0.5469371119726858
20,100,tranad_processed_tensors_w20.pt,0.0005,0.5,0.5,Val_Mean_3Std,1.7886411547660828,0.3421033598216517,0.0,0.0,0.0,0.7979133049728621,0.16276690962208412,0.6942148760330579,0.18421052631578946,0.29116117850953205,0.7545152621437988,0.5617213720884683
5,25,tranad_processed_tensors_w5.pt,0.0005,0.3,0.7,Val_Percentile_99,1.736727678775787,0.261551144000675,0.0,0.0,0.0,0.7870580900689452,0.17670799147192665,0.7272727272727273,0.17543859649122806,0.2826855123674912,0.7313026062265491,0.543533934397822
20,100,tranad_processed_tensors_w20.pt,0.0005,0.5,0.5,Val_Mean_2Std,1.3006374835968018,0.3421033598216517,0.0,0.0,0.0,0.7979133049728621,0.16276690962208412,0.757396449704142,0.2807017543859649,0.4096,0.7545152621437988,0.5617213720884683
5,25,tranad_processed_tensors_w5.pt,0.0005,0.7,0.3,Val_Percentile_99,1.7134570753574365,0.261551144000675,0.0,0.0,0.0,0.7968864603197888,0.18196366271509068,0.7127659574468085,0.14692982456140352,0.24363636363636362,0.7287369435148565,0.5396069824050539
15,75,tranad_processed_tensors_w15.pt,0.002,0.7,0.3,Val_Percentile_99,1.511235045194625,0.23933703139690415,0.0,0.0,0.0,0.8284986064251136,0.1994671605290039,0.8555555555555555,0.16885964912280702,0.28205128205128205,0.7434210526315789,0.5706067633585141
5,25,tranad_processed_tensors_w5.pt,0.001,0.5,0.5,Val_Mean_3Std,1.185910940170288,0.21007394358249648,0.0,0.0,0.0,0.8275817808420127,0.20659803372324145,0.8173913043478261,0.20614035087719298,0.329246935201401,0.7270079099482811,0.5561838725196913
15,75,tranad_processed_tensors_w15.pt,0.002,0.7,0.3,Val_Mean_3Std,1.2377213835716248,0.23933703139690415,0.0,0.0,0.0,0.8284986064251136,0.1994671605290039,0.8392857142857143,0.20614035087719298,0.33098591549295775,0.7434210526315789,0.5706067633585141
5,25,tranad_processed_tensors_w5.pt,0.001,0.5,0.5,Val_Percentile_99,1.5578379380702971,0.21007394358249648,0.0,0.0,0.0,0.8275817808420127,0.20659803372324145,0.8450704225352113,0.13157894736842105,0.22770398481973433,0.7270079099482811,0.5561838725196913
15,75,tranad_processed_tensors_w15.pt,0.002,0.3,0.7,Val_Percentile_99,1.539197027683257,0.23933703139690415,0.0,0.0,0.0,0.8188169282675664,0.1813762767630093,0.8333333333333334,0.17543859649122806,0.2898550724637681,0.7742990061859852,0.5929136547221253
15,75,tranad_processed_tensors_w15.pt,0.002,0.3,0.7,Val_Mean_3Std,1.3438488245010376,0.23933703139690415,0.0,0.0,0.0,0.8188169282675664,0.1813762767630093,0.8,0.18421052631578946,0.2994652406417112,0.7742990061859852,0.5929136547221253
15,75,tranad_processed_tensors_w15.pt,0.002,0.3,0.7,Val_Mean_2Std,0.9757238924503326,0.23933703139690415,0.0,0.0,0.0,0.8188169282675664,0.1813762767630093,0.7212121212121212,0.26096491228070173,0.3832528180354267,0.7742990061859852,0.5929136547221253
5,25,tranad_processed_tensors_w5.pt,0.001,0.3,0.7,Val_Mean_3Std,1.202344387769699,0.21007394358249648,0.0,0.0,0.0,0.8263899075839812,0.20368482394720472,0.8103448275862069,0.20614035087719298,0.32867132867132864,0.7280118649224216,0.5578878499908388
